Name,Link,Likes,Downloads,Dataset Tasks,Modality,Last Modified,Date Last Accessed
Gustavosta/Stable-Diffusion-Prompts,https://huggingface.co/datasets/Gustavosta/Stable-Diffusion-Prompts,471,7089,Unknown,text,2022-09-18,2025-03-29
facebook/natural_reasoning,https://huggingface.co/datasets/facebook/natural_reasoning,466,13295,text-generation,text,2025-02-21,2025-03-29
b-mc2/sql-create-context,https://huggingface.co/datasets/b-mc2/sql-create-context,460,6340,"text-generation, question-answering, table-question-answering",text,2024-01-25,2025-03-29
cerebras/SlimPajama-627B,https://huggingface.co/datasets/cerebras/SlimPajama-627B,458,54236,text-generation,Unknown,2023-07-07,2025-03-29
HuggingFaceFW/fineweb-2,https://huggingface.co/datasets/HuggingFaceFW/fineweb-2,450,59814,text-generation,"tabular, text",2025-01-08,2025-03-29
microsoft/orca-math-word-problems-200k,https://huggingface.co/datasets/microsoft/orca-math-word-problems-200k,448,1873,question-answering,text,2024-03-04,2025-03-29
BAAI/COIG,https://huggingface.co/datasets/BAAI/COIG,436,541,Unknown,text,2023-07-12,2025-03-29
stingning/ultrachat,https://huggingface.co/datasets/stingning/ultrachat,436,2117,text-generation,text,2024-02-22,2025-03-29
cais/mmlu,https://huggingface.co/datasets/cais/mmlu,435,149348,question-answering,text,2024-03-08,2025-03-29
AI-MO/NuminaMath-CoT,https://huggingface.co/datasets/AI-MO/NuminaMath-CoT,435,6361,text-generation,text,2024-11-25,2025-03-29
microsoft/orca-agentinstruct-1M-v1,https://huggingface.co/datasets/microsoft/orca-agentinstruct-1M-v1,433,14423,question-answering,text,2024-11-01,2025-03-29
timdettmers/openassistant-guanaco,https://huggingface.co/datasets/timdettmers/openassistant-guanaco,430,7948,Unknown,text,2023-05-27,2025-03-29
GAIR/lima,https://huggingface.co/datasets/GAIR/lima,430,1160,Unknown,text,2023-06-08,2025-03-29
Salesforce/xlam-function-calling-60k,https://huggingface.co/datasets/Salesforce/xlam-function-calling-60k,430,3038,"question-answering, text-generation, reinforcement-learning",text,2025-01-24,2025-03-29
bigcode/starcoderdata,https://huggingface.co/datasets/bigcode/starcoderdata,425,5585,text-generation,text,2023-05-16,2025-03-29
Salesforce/wikitext,https://huggingface.co/datasets/Salesforce/wikitext,424,591843,"text-generation, fill-mask",text,2024-01-04,2025-03-29
glaiveai/glaive-function-calling-v2,https://huggingface.co/datasets/glaiveai/glaive-function-calling-v2,420,1724,text-generation,text,2023-09-27,2025-03-29
EleutherAI/pile,https://huggingface.co/datasets/EleutherAI/pile,416,1281,"text-generation, fill-mask",Unknown,2023-05-03,2025-03-29
Skylion007/openwebtext,https://huggingface.co/datasets/Skylion007/openwebtext,411,95551,"text-generation, fill-mask",Unknown,2024-05-17,2025-03-29
nvidia/HelpSteer2,https://huggingface.co/datasets/nvidia/HelpSteer2,411,3643,Unknown,"tabular, text",2024-12-18,2025-03-29
cognitivecomputations/dolphin,https://huggingface.co/datasets/cognitivecomputations/dolphin,410,619,text-generation,text,2023-12-18,2025-03-29
nyu-mll/glue,https://huggingface.co/datasets/nyu-mll/glue,404,200510,text-classification,"tabular, text",2024-01-30,2025-03-29
argilla/FinePersonas-v0.1,https://huggingface.co/datasets/argilla/FinePersonas-v0.1,400,1503,text-generation,text,2024-12-11,2025-03-29
allenai/c4,https://huggingface.co/datasets/allenai/c4,394,449512,"text-generation, fill-mask",text,2024-01-09,2025-03-29
HuggingFaceM4/the_cauldron,https://huggingface.co/datasets/HuggingFaceM4/the_cauldron,392,928165,Unknown,"image, text",2024-05-06,2025-03-29
